type,attributes,variable,label
pack,start_year=2024|end_year=2040,G-Cubed charts,
chart,,,
series,,TAXM(USA),
series,,TAXM(ROW),
chart,,,
series,,EXCH(USA),
series,,EXCH(ROW),
chart,,,
series,,NEER(USA),
series,,NEER(ROW),
chart,,,
series,,INFL(USA),
series,,INFL(ROW),
chart,,,
series,,GDPRGROWTH(USA),
series,,GDPRGROWTH(ROW),
chart,,,
series,,GDPR(USA),
series,,GDPR(ROW),
chart,,,
series,,TBAL(USA),
series,,TBAL(ROW),
chart,,,
series,,"BTBAL(ROW,USA)",
chart,,,
series,,INTN(USA),
series,,INTN(ROW),
chart,,,
series,,INTR(USA),
series,,INTR(ROW),
chart,,,
series,,LABO(USA),
series,,LABO(ROW),
chart,,,
series,,"LAB(a01,USA)",
series,,"LAB(a02,USA)",
chart,,,
series,,"OUP(a01,USA)",
series,,"OUP(a02,USA)",
chart,,,
series,,"PRD(g01,USA)",
series,,"PRD(g02,USA)",
chart,,,
series,,"TOB(a01,USA)",
series,,"TOB(a02,USA)",
